F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,Class
0.021638038,0.080334151,0.054954709,0.028488443,0.016877973,0.011788452,0.009289133,0.00809249,0.007891787,0.008515859,0.040481384,0.041333424,0.032271502,0.026488988,0.021668333,0.019699173,0.01843058,0.017290739,Cancer
0.032962952,0.056708458,0.046577438,0.033178348,0.023738079,0.016132387,0.012121572,0.009833923,0.009091179,0.007724531,0.014535488,0.022787367,0.025528091,0.029472058,0.030987255,0.03172257,0.029642889,0.02616685,Non Cancer
0.002754349,0.015681054,0.02706915,0.035639121,0.039712846,0.038313749,0.031812529,0.022393533,0.017335257,0.015430731,0.020639679,0.029512588,0.030915671,0.029452797,0.029313286,0.026148376,0.023174796,0.019631212,Cancer
0.028249704,0.044542122,0.046171913,0.036332807,0.026526625,0.019722112,0.014728478,0.011929848,0.010140919,0.009324378,0.022076254,0.029314281,0.029440493,0.028836867,0.028227754,0.026619913,0.024463321,0.021801879,Non Cancer
0.020958779,0.068654692,0.048421381,0.029018732,0.020019297,0.015071604,0.012235023,0.010127537,0.009790195,0.012562209,0.036095675,0.036523701,0.028808346,0.023160575,0.021658856,0.020842704,0.020421932,0.020128118,Non Cancer
0.00458496,0.024063783,0.041453258,0.041007095,0.033230075,0.027876119,0.023526937,0.018963741,0.014701615,0.016473934,0.025656186,0.030930341,0.028960694,0.026022548,0.02476386,0.02327665,0.022725294,0.021357786,Cancer
0.002767232,0.010474039,0.015426983,0.024510721,0.036889739,0.047397198,0.044750281,0.032210844,0.020948078,0.011699909,0.021669964,0.030178867,0.030339287,0.03070023,0.030713598,0.028146891,0.024664456,0.022271536,Cancer
0.037201712,0.079204408,0.051291299,0.027215429,0.015674148,0.010299648,0.008247996,0.0071187,0.00674621,0.005600359,0.033878864,0.041748457,0.034470118,0.029367595,0.025695906,0.021149162,0.018228366,0.018222453,Non Cancer
0.049103629,0.079303309,0.047718991,0.02435505,0.014035855,0.009532138,0.007287567,0.006332896,0.005793616,0.005229558,0.034615945,0.040577175,0.034164116,0.029645824,0.025251421,0.021133945,0.019508818,0.018306369,Cancer
0.062135118,0.061300243,0.03572544,0.023316436,0.017274103,0.012829445,0.009916392,0.008787209,0.008799222,0.007933114,0.028427792,0.034554213,0.031713235,0.029190592,0.026397665,0.023712851,0.021995051,0.021670711,Non Cancer
0.011947599,0.041413659,0.053506503,0.044056187,0.031921174,0.020652948,0.014243412,0.011371303,0.010064095,0.008658495,0.032150755,0.03812924,0.032759849,0.02855242,0.024260654,0.022231905,0.019514412,0.018830353,Non Cancer
0.015878893,0.063141654,0.050039933,0.028171059,0.018111523,0.013330429,0.011199448,0.010585929,0.011762143,0.02222319,0.031253177,0.032440282,0.025125245,0.022061279,0.019962971,0.01945473,0.019752414,0.020594642,Non Cancer
0.043039885,0.042756295,0.035636154,0.029599733,0.027791845,0.023912735,0.019142342,0.013612332,0.008872324,0.004509085,0.019770292,0.02895659,0.030273259,0.030359349,0.03021249,0.029123706,0.027898191,0.025077481,Cancer
0.020352697,0.043040565,0.047683573,0.040283657,0.03057981,0.021637431,0.014842786,0.011218975,0.009524219,0.00866903,0.025003514,0.033356242,0.031887974,0.030560285,0.028131394,0.025386201,0.022512144,0.019493604,Cancer
0.045225922,0.06991728,0.041744607,0.023018248,0.016647961,0.012428815,0.011316872,0.010090618,0.010714137,0.007116432,0.026457996,0.032163196,0.030012055,0.025824084,0.024514694,0.023163736,0.023537848,0.026083884,Non Cancer
0.027636523,0.063030173,0.052601085,0.034707378,0.021831335,0.013753572,0.010530342,0.008173391,0.00723961,0.008397273,0.034330491,0.039820669,0.033964854,0.028604055,0.024593299,0.022461355,0.019446257,0.017331188,Non Cancer
0.035569263,0.078167413,0.049224284,0.024319732,0.015398451,0.011277117,0.008893695,0.008584733,0.008386114,0.008143358,0.032253437,0.036154084,0.029991393,0.024854898,0.021632865,0.020568049,0.021483901,0.021643899,Cancer
0.016555803,0.04932335,0.050634052,0.037551609,0.0260502,0.018300675,0.014171964,0.012091225,0.012582738,0.010190707,0.020291303,0.029187693,0.028204666,0.027836031,0.024166066,0.023854774,0.023002818,0.025771676,Cancer
0.019955904,0.038562029,0.038622791,0.031991077,0.025428805,0.020763168,0.015811083,0.013641019,0.013914447,0.025047741,0.016566265,0.023610291,0.024747405,0.023883719,0.023588591,0.023015694,0.022217111,0.022772647,Cancer
0.088572974,0.08127173,0.026284478,0.012473924,0.008216797,0.006486132,0.005740555,0.005551263,0.006300703,0.007281156,0.046395735,0.044043112,0.031418527,0.023812099,0.018987097,0.016761956,0.015923665,0.017225527,Cancer
0.032907259,0.046194618,0.036607953,0.024828692,0.017474889,0.013624118,0.012127002,0.011413219,0.012796861,0.033620311,0.018239919,0.023664675,0.022811795,0.022163899,0.020516706,0.020136022,0.020787578,0.021677062,Non Cancer
0.069247707,0.081505948,0.035435395,0.017553119,0.010209525,0.007303868,0.006288023,0.005601335,0.006656905,0.00815854,0.029374376,0.037041451,0.033630709,0.02883524,0.02396032,0.021020612,0.018881095,0.01886407,Cancer
0.020696087,0.063816637,0.055171061,0.033723667,0.020388903,0.015026129,0.012353995,0.009630046,0.00756858,0.009299916,0.027113651,0.035422434,0.032235858,0.028342388,0.025414884,0.023997394,0.022964811,0.019297103,Cancer
0.025654881,0.068128891,0.052767165,0.031537771,0.018976697,0.013843438,0.010757394,0.008527527,0.00809373,0.009370006,0.024749235,0.032568989,0.030769114,0.02931932,0.027458561,0.02474543,0.022625915,0.020205787,Non Cancer
0.164913356,0.043357255,0.013241729,0.007010327,0.005399965,0.003920882,0.003640819,0.003106949,0.003387012,0.001617364,0.060896202,0.04773324,0.029765447,0.020672151,0.017372659,0.015280938,0.015876072,0.016943812,Cancer
0.013851627,0.050204858,0.050955762,0.035598682,0.022162604,0.015564855,0.012214948,0.010899044,0.011456754,0.021672693,0.020150472,0.027900093,0.027393415,0.02561093,0.023883121,0.021688732,0.019702117,0.019964569,Cancer
0.058679202,0.03863373,0.020774079,0.012913024,0.010613083,0.009300713,0.009173426,0.009599178,0.011350469,0.055170476,0.013158819,0.016512167,0.016994979,0.016955476,0.017249552,0.017714807,0.019308087,0.022152288,Non Cancer
0.09465061,0.073116094,0.025668765,0.014540898,0.011087799,0.008443337,0.005474692,0.004487572,0.0047899,0.006192266,0.044303844,0.042103768,0.031168954,0.024725355,0.021421599,0.020875222,0.021111985,0.015768424,Non Cancer
0.033144068,0.049872314,0.050374908,0.038394143,0.027486484,0.018290364,0.0120351,0.008218099,0.006818984,0.004292428,0.028213209,0.037090114,0.034651851,0.033381782,0.029544405,0.024552419,0.0206675,0.017957565,Cancer
0.038754454,0.068094699,0.048675256,0.0284917,0.017409953,0.012850605,0.010364072,0.008037961,0.007180972,0.008112261,0.028128641,0.036398791,0.03154393,0.028525473,0.025578784,0.023535521,0.022353468,0.019128151,Cancer
0.142289015,0.05510612,0.016148275,0.009042197,0.005630442,0.004552495,0.003908866,0.00381991,0.004264694,0.004190388,0.054703198,0.046226139,0.031574431,0.023327612,0.017875084,0.016106413,0.015447086,0.016153508,Cancer
0.045967742,0.069543851,0.0437437,0.024351058,0.015738407,0.012058972,0.010181452,0.008688256,0.008392137,0.00906754,0.029492188,0.034797127,0.030897177,0.027828881,0.023809224,0.02125756,0.020551915,0.020923639,Non Cancer
0.071531434,0.058941992,0.031079834,0.018760407,0.0131801,0.010339319,0.009681157,0.009529274,0.010367445,0.01327123,0.0222706,0.028599073,0.025533279,0.024261959,0.022681247,0.021989334,0.022619369,0.024841366,Cancer
0.152588602,0.048791986,0.015325364,0.008536072,0.006120044,0.004369055,0.003523024,0.003363078,0.003283105,0.003279737,0.055602323,0.046561158,0.030730701,0.023036451,0.019854365,0.017926593,0.016129304,0.014896035,Non Cancer
0.005613575,0.030257646,0.053147703,0.049108712,0.031817583,0.020513534,0.014808413,0.012018104,0.011402918,0.017049449,0.03207391,0.036317963,0.029734005,0.024786882,0.021103088,0.019978908,0.018466575,0.018228556,Non Cancer
0.09342806,0.074306069,0.027076935,0.013509311,0.009121214,0.006915018,0.006477666,0.005690433,0.005632119,0.00627454,0.034244645,0.038924309,0.030969366,0.026799946,0.023369164,0.020895696,0.020341718,0.020234809,Non Cancer
0.016507093,0.050894201,0.055945595,0.037809408,0.023936085,0.015890679,0.011976048,0.010210862,0.010026738,0.013442633,0.031689295,0.034979506,0.029980147,0.025525153,0.022755292,0.020962087,0.019328989,0.019192898,Cancer
